,Prediction,Gold,ASR_BLEU
0,first one is dedicated to saint benedict and to possessions,the third day is dedicated to st george a day of processions,BLEU = 12.79 30.0/22.2/12.5/7.1 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
1,he received orders for this action,they were awarded two prizes for that performance,BLEU = 5.82 16.7/10.0/6.2/4.2 (BP = 0.717 ratio = 0.750 hyp_len = 6 ref_len = 8)
2,his spirituality was intense and he left in his majority only the bible,his spirituality was intense and he read mostly the bible only,BLEU = 44.08 69.2/50.0/36.4/30.0 (BP = 1.000 ratio = 1.182 hyp_len = 13 ref_len = 11)
3,the species is known simply as the spear or amazon simply as the spear,this species is known simply as suspiro ramoso or simply as suspiro,BLEU = 31.61 57.1/38.5/25.0/18.2 (BP = 1.000 ratio = 1.167 hyp_len = 14 ref_len = 12)
4,cascade is about the entrance of the cave,a waterfall falls upon the entrance to the cave,BLEU = 13.78 50.0/28.6/8.3/5.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
5,enters in the cycle,you enter in this whore cycle,BLEU = 11.52 50.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
6,it is necessary that you can be translated to another place where you consider the organization,it means that they can be moved to another place at the discretion of the organization,BLEU = 14.25 56.2/26.7/7.1/3.8 (BP = 1.000 ratio = 1.000 hyp_len = 16 ref_len = 16)
7,it belongs to the church of the demand in the centre of the infants,it belongs to sierra de la demanda town which has its capital seat at sala de los infantes,BLEU = 7.94 21.4/15.4/8.3/4.5 (BP = 0.751 ratio = 0.778 hyp_len = 14 ref_len = 18)
8,our comedies and the spanish intrigues were surgical,the italian comedy commedia dell arte and the spanish interludes came into existence,BLEU = 11.00 37.5/28.6/16.7/10.0 (BP = 0.535 ratio = 0.615 hyp_len = 8 ref_len = 13)
9,society appears to be divided into fundamentalists reformers and legists,the society is divided into fundamentalists reformists and secular,BLEU = 17.75 50.0/22.2/12.5/7.1 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
10,he was the co ordinator of independent poses and infant infant,she was the coordinator of independent workshops of poetry and children stories,BLEU = 10.23 45.5/20.0/5.6/3.1 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
11,spiritism,the spirit is on the head,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.007 ratio = 0.167 hyp_len = 1 ref_len = 6)
12,once adult the brilliance of the colors is intense,as an adult the brightness of the colors fades,BLEU = 22.32 55.6/37.5/14.3/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
13,has the iroquois river a river or a river,uruguay river basin golden stream and fortress stream,BLEU = 4.77 11.1/6.2/3.6/2.1 (BP = 1.000 ratio = 1.125 hyp_len = 9 ref_len = 8)
14,there are few bastards,a word to the wise is enough,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7)
15,he made amends anita had his son stanley and amanda,he married amanda nieto and had two children stanley and amanda,BLEU = 16.06 50.0/22.2/12.5/7.1 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
16,he was a professor in a school located in trodham,he was a teacher in a school in trondheim,BLEU = 27.30 70.0/44.4/25.0/7.1 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
17,you cant supervise it if you do it you can do it directly,not being able to overcome the decline they had to get down immediately,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 13 ref_len = 13)
18,he promoted administrative reforms and created a more receptive mania to foreign interests,by proclaiming appropriate political reforms he made burma receptive to international affairs,BLEU = 4.37 30.8/4.2/2.3/1.2 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
19,the other suffers from annihilation and during this time his love was brandished,beba has amnesia and during this time her love for brando grows,BLEU = 20.45 38.5/25.0/18.2/10.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
20,he was culpable in his regressed aroma,he was found guilty upon his return to rome,BLEU = 10.92 42.9/16.7/10.0/6.2 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
21,he is currantly a catalogue of the super municipality,it is currently mayor of the municipality of sucre,BLEU = 11.34 44.4/12.5/7.1/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
22,each one of them used the initials of their concert,each of them would use the initials of their spouses,BLEU = 32.47 70.0/44.4/25.0/14.3 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10)
23,the parochial life and the mandate are very similar to one another,there are strong bonds in parish life and in the brotherhood,BLEU = 8.05 33.3/9.1/5.0/2.8 (BP = 1.000 ratio = 1.091 hyp_len = 12 ref_len = 11)
24,or if that was offered by the valencia deputation,this work was funded by the provincial department of valencia,BLEU = 10.15 44.4/12.5/7.1/4.2 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
25,has its name,its based in mcallen,BLEU = 19.72 33.3/25.0/25.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4)
26,he could sing but for some parts his voice was not sufficiently good,ann knew how to sing but her voice was not good enough for some parts,BLEU = 19.40 69.2/41.7/18.2/5.0 (BP = 0.857 ratio = 0.867 hyp_len = 13 ref_len = 15)
27,experimented with luminous effects and accentuation of profundity in these levels,they carried out experiments by using light effects and by highlighting deep backgrounds at these level,BLEU = 5.27 27.3/10.0/5.6/3.1 (BP = 0.635 ratio = 0.688 hyp_len = 11 ref_len = 16)
28,is between a period of two or three years in contact with the public,hes one of the journalists who spend the most time in contact with the audience,BLEU = 17.50 35.7/23.1/16.7/9.1 (BP = 0.931 ratio = 0.933 hyp_len = 14 ref_len = 15)
29,the recruits may be used for the use of vehicles,the recruits improved their ability to drive vehicles,BLEU = 9.29 30.0/11.1/6.2/3.6 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
30,the english language historian,its a historicist speaking church,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
31,he was a private and private actor,he worked in the public and private sectors,BLEU = 12.60 42.9/16.7/10.0/6.2 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
32,apparently he is in the deportment of union of power,currently he coaches union deportiva fraga,BLEU = 4.99 20.0/5.6/3.1/1.8 (BP = 1.000 ratio = 1.667 hyp_len = 10 ref_len = 6)
33,we must use systems of the following,the two most frequently used systems are the following ones,BLEU = 9.47 42.9/16.7/10.0/6.2 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
34,the contractor started with the use of arms,with heavy weaponry it prepared its counterattack,BLEU = 5.52 12.5/7.1/4.2/2.5 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7)
35,im president of the show,their current president is mrs,BLEU = 10.68 20.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
36,is the current past of the mystery that completed in the following years,the first mystery series which would be completed in the following years is launched these days,BLEU = 25.82 61.5/33.3/27.3/20.0 (BP = 0.794 ratio = 0.812 hyp_len = 13 ref_len = 16)
37,in his first example he appeared the type of a quadrumana always is notified,the very first copy was entitled osorno is in the headlines all the time,BLEU = 4.02 28.6/3.8/2.1/1.1 (BP = 1.000 ratio = 1.000 hyp_len = 14 ref_len = 14)
38,nicolas was master of the island of megrims,nicolas was a native of the island of negroponte,BLEU = 36.28 75.0/57.1/33.3/20.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
39,this energy necessitated,this net power gain would cause heating,BLEU = 7.25 33.3/25.0/25.0/0.0 (BP = 0.264 ratio = 0.429 hyp_len = 3 ref_len = 7)
40,the fruits can be nourished,as per roman law benefits can be either organic or civil,BLEU = 6.43 40.0/25.0/16.7/12.5 (BP = 0.301 ratio = 0.455 hyp_len = 5 ref_len = 11)
41,brother and his companions did not do it,neither their brother nor their partners doubted about it,BLEU = 5.80 25.0/7.1/4.2/2.5 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
42,the iroquois league of football play is always disputed during the war,the uruguayan beach soccer league was always played in summer,BLEU = 4.46 25.0/4.5/2.5/1.4 (BP = 1.000 ratio = 1.200 hyp_len = 12 ref_len = 10)
43,in this way the intercession by has been allowed to increase its competitiveness in sustainable ways,in this way the interoceanic route has managed to increment competitiveness in a sustainable way,BLEU = 20.15 56.2/26.7/14.3/7.7 (BP = 1.000 ratio = 1.067 hyp_len = 16 ref_len = 15)
44,it is essentially frankness,in essence the population is french speaker,BLEU = 7.55 25.0/16.7/12.5/12.5 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7)
45,in the afternoon there was a row of light and juvenile lights very alive and very happy,a ray of sunshine so playful alive and joyful penetrated in the bedroom,BLEU = 7.16 35.3/12.5/3.3/1.8 (BP = 1.000 ratio = 1.308 hyp_len = 17 ref_len = 13)
46,he studied at the trinity college of cambridge united states,they studied law at the trinity college in cambridge reino unido,BLEU = 26.31 60.0/33.3/25.0/14.3 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
47,storm is going on in the cold,the storm brings us the coolness,BLEU = 7.81 28.6/8.3/5.0/3.1 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6)
48,the council celebrated this feast in september,on september the council holds its festivities,BLEU = 14.54 42.9/16.7/10.0/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
49,see if there is no knight,lets see if tonight snows,BLEU = 16.23 33.3/20.0/12.5/8.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
50,ive a snugglers knuckle replaces the painting bowls of the reels,however chucky replaces the paint bullets on the weapons with real munitions,BLEU = 7.57 27.3/10.0/5.6/3.1 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
51,the timosco or parcaeus,the kiosk or parque a díaz,BLEU = 11.52 50.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
52,we started working as a lawyer with the future president romayne,moon started working as a lawyer with the future president roh moo hyun,BLEU = 65.54 81.8/80.0/77.8/75.0 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
53,i admire and admire a japanese culture,she was knowledgeable and admirer of the japanese culture,BLEU = 10.92 42.9/16.7/10.0/6.2 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
54,sarah left the group in the evening,sara left the group in april,BLEU = 41.11 57.1/50.0/40.0/25.0 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6)
55,however the public as well as the critic excite very well the opera,the opera received very good reviews both from the public and the critics,BLEU = 9.67 46.2/16.7/4.5/2.5 (BP = 1.000 ratio = 1.000 hyp_len = 13 ref_len = 13)
56,it was buried together with ranee in the familiar pantheon of peaches and oriel,she was buried next to ronnie on the petersons family pantheon in orebro,BLEU = 7.14 35.7/7.7/4.2/2.3 (BP = 1.000 ratio = 1.077 hyp_len = 14 ref_len = 13)
57,of course its the most genital,actually you are too cool,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
58,besides he concluded the works of the seminary of yosemite and the narrator,in addition he completed the work on the diocesan seminary and inaugurated it,BLEU = 4.62 38.5/4.2/2.3/1.2 (BP = 1.000 ratio = 1.000 hyp_len = 13 ref_len = 13)
59,his origins economy was based on the lack of vacuum,in its origins the economy was based on raising dairy cattle,BLEU = 26.31 60.0/33.3/25.0/14.3 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
60,is a large scale designed and created as the element of society,its a place of a huge scale designed and created as an element of the society,BLEU = 28.56 83.3/45.5/30.0/22.2 (BP = 0.717 ratio = 0.750 hyp_len = 12 ref_len = 16)
61,to celebrate the victory he sacrificed one of these two homages,he sacrificed twelve oxen in honor of zeus to celebrate victory,BLEU = 11.73 54.5/20.0/5.6/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
62,the century fernando de silvas contraband against the poor bones,the count fernando de silva rebelled against the bourbons in the century,BLEU = 11.90 60.0/33.3/6.2/3.6 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
63,on the other hand it is done with an authenticity due to be in any pedestal style,the authenticity of some others is open to doubt due to their lack of purely epistolary style,BLEU = 6.02 35.3/6.2/3.3/1.8 (BP = 1.000 ratio = 1.000 hyp_len = 17 ref_len = 17)
64,is characterized by the use of a determined red color,it is characterized by the use of a certain pink color,BLEU = 59.78 80.0/66.7/62.5/57.1 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
65,he have a patio,we dont have a dog but we do have a patio,BLEU = 10.33 75.0/66.7/50.0/50.0 (BP = 0.174 ratio = 0.364 hyp_len = 4 ref_len = 11)
66,there were only one thousand copies of the parties between executives and periodists,they only made one thousand copies which were shared among followers and reporters,BLEU = 13.67 46.2/16.7/9.1/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 13 ref_len = 13)
67,this left the last,he rejected with anger the ultimatum,BLEU = 9.69 25.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
68,investigation was based on its duration,the investigation was based on their sworn affidavits,BLEU = 36.41 66.7/60.0/50.0/33.3 (BP = 0.717 ratio = 0.750 hyp_len = 6 ref_len = 8)
69,ham was pending,bendicion de campos,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3)
70,that time many people moved to lisbon,during that time a lot of people moved to lisbon,BLEU = 31.85 85.7/66.7/40.0/25.0 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
71,and supervision of the species,its survival of the species,BLEU = 39.76 60.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
72,there are no specific treatments,and there are no specific treatments,BLEU = 81.87 100.0/100.0/100.0/100.0 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
73,the bashafur their gothic and venice and the selims,on the ground floor gothic and renaissance elements are mixed,BLEU = 9.44 33.3/12.5/7.1/4.2 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
74,he has to acquire numerous research projects then as by civic institutions,they have conducted several investigation projects financed by different public institutions,BLEU = 4.46 25.0/4.5/2.5/1.4 (BP = 1.000 ratio = 1.091 hyp_len = 12 ref_len = 11)
75,however my intervention was incommoded by all the columbians,unfortunately i dont like this kind of procedure and it bothers most colombians,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.641 ratio = 0.692 hyp_len = 9 ref_len = 13)
76,psalm written by jor is described as an inspiration,jojos written song track is described as an uplifting hymn,BLEU = 28.24 55.6/37.5/28.6/16.7 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
77,swedish government assumed the debts of the banks,the swedish government took on the banks debt,BLEU = 16.52 62.5/28.6/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
78,from the broncho complications lewis decided to move from santiago to concord,due to bronchi complications lobos decided to move from santiago to concon,BLEU = 43.36 58.3/45.5/40.0/33.3 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12)
79,i ought to write one with final felicity but i cant read,i wanted to write something with a happy ending as much as that can be unreal,BLEU = 5.77 33.3/9.1/5.0/2.8 (BP = 0.717 ratio = 0.750 hyp_len = 12 ref_len = 16)
80,the animated forebodings of his crustaceans all over cameron and cephalopho,they eat a wide range of fishes crustaceans mainly prawns and cephalopods,BLEU = 4.50 27.3/5.0/2.8/1.6 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
81,presently this albuminous catalogue data,currently we have discontinued this album,BLEU = 8.75 20.0/12.5/8.3/6.2 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
82,player can win and help the factions in his battles,the player will be able to join and help with the factions in their battles,BLEU = 12.96 70.0/33.3/12.5/7.1 (BP = 0.607 ratio = 0.667 hyp_len = 10 ref_len = 15)
83,parties played in the car,they played the games in macao,BLEU = 11.51 60.0/12.5/8.3/6.2 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
84,please stop five minutes,the police took five minutes to appear,BLEU = 15.09 50.0/33.3/25.0/25.0 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7)
85,is located between the tree and the punt and the remedios,it is located between triana bridge and remedios bridge,BLEU = 15.85 45.5/20.0/11.1/6.2 (BP = 1.000 ratio = 1.222 hyp_len = 11 ref_len = 9)
86,i ought to be with them do you think sir,i want to talk to them okay,BLEU = 5.52 30.0/5.6/3.1/1.8 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7)
87,we support the cases of people that are members of them,lets suppose the cases of sets which are members of themselves,BLEU = 23.46 54.5/40.0/22.2/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
88,the mansion has a sanctuary that is supposed to mark it,the mountain has a sanctuary that supposedly marks his graveyard,BLEU = 24.81 45.5/30.0/22.2/12.5 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
89,he is married to missus bardell to rowan and father of six children,he is currently married with isis peralta rolon fathering six kids,BLEU = 7.35 30.8/8.3/4.5/2.5 (BP = 1.000 ratio = 1.182 hyp_len = 13 ref_len = 11)
90,even with lydias eloquence jesus has written the song of multiplication,jesusa has written the lyrics of a lot of songs together with liliana,BLEU = 13.22 45.5/20.0/11.1/6.2 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
91,hes mainly known fitzpiers solaced,he is mostly known because of his career as a soloist,BLEU = 3.22 20.0/12.5/8.3/6.2 (BP = 0.301 ratio = 0.455 hyp_len = 5 ref_len = 11)
92,administrative division is composed by five provinces each with its provincial superior,the administrative division is made of five provinces each with its provincial superior,BLEU = 58.34 83.3/72.7/60.0/44.4 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
93,however this classification is not used extensively,however this classification is still widely used,BLEU = 43.47 71.4/50.0/40.0/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
94,he was determined to become artist,he was determined to be any kind of artist,BLEU = 32.59 83.3/60.0/50.0/33.3 (BP = 0.607 ratio = 0.667 hyp_len = 6 ref_len = 9)
95,mediaeval wars are resumed in ascetics and wars,the medieval wars can be resumed in harassment and war of attrition,BLEU = 7.97 50.0/14.3/8.3/5.0 (BP = 0.607 ratio = 0.667 hyp_len = 8 ref_len = 12)
96,he was married in his church where he would be married years later,years later they would get married at that church,BLEU = 7.77 38.5/8.3/4.5/2.5 (BP = 1.000 ratio = 1.444 hyp_len = 13 ref_len = 9)
97,they have one of the most elevated peaks of the country,it has one of the highest peaks of the town,BLEU = 23.46 54.5/40.0/22.2/6.2 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
98,to the communications however it is independent of the amount of information received omitted,apart from this in the telecommunications field it is independent of the amount of information received or sent,BLEU = 45.96 71.4/61.5/58.3/54.5 (BP = 0.751 ratio = 0.778 hyp_len = 14 ref_len = 18)
99,the capital is the city of cuba,the capital is the city of quba,BLEU = 80.91 85.7/83.3/80.0/75.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
100,only in recourses they have to assist,lonely and without resources she considers giving up,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
101,it is a small locality but it is known for its particular account,it is a small town but one that has a unique charm,BLEU = 20.45 38.5/25.0/18.2/10.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
102,they were replaced by jannet gironda and julia bruno,they were substituted by jeanette jurado and gioia bruno,BLEU = 11.99 55.6/12.5/7.1/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
103,he gained an international reputation especially in germany and france,winning an international recognition mainly in germany and france,BLEU = 31.24 60.0/44.4/25.0/14.3 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
104,it has a small internal cavity with small small accuracy,with a small internal cavity with small very numerous achenes,BLEU = 51.70 60.0/55.6/50.0/42.9 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10)
105,wee sylvanus dominican composer of cassandras verse,luís rivera eminent dominican composer has fallen in love with casandras voice,BLEU = 6.43 28.6/16.7/10.0/6.2 (BP = 0.490 ratio = 0.583 hyp_len = 7 ref_len = 12)
106,each family had three carriages,every head of the family had three careers,BLEU = 21.82 60.0/50.0/33.3/25.0 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
107,ascension it represents an administrator,an administrator represents him in ascension,BLEU = 20.80 80.0/25.0/16.7/12.5 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
108,synthesis obtained from the sea was used in the fabrication of polo,the ash obtained from burning their wood was used for the production of gunpowder,BLEU = 9.33 58.3/18.2/5.0/2.8 (BP = 0.846 ratio = 0.857 hyp_len = 12 ref_len = 14)
109,seashore is a mural tablet in the shape of a dor,the side facing the sea has a sloping wall in the shape of a horseshoe,BLEU = 25.53 54.5/40.0/33.3/25.0 (BP = 0.695 ratio = 0.733 hyp_len = 11 ref_len = 15)
110,as a type of co operative multitudinary type,this primitive type allows corporate multitasking,BLEU = 5.52 12.5/7.1/4.2/2.5 (BP = 1.000 ratio = 1.333 hyp_len = 8 ref_len = 6)
111,he is considered the first polonian story teller,he is considered to be the first historian of poland,BLEU = 20.13 62.5/42.9/16.7/10.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10)
112,he is the truth of elizabeth darrass truth,she herself the real elisabeth de tannhauser,BLEU = 5.52 12.5/7.1/4.2/2.5 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7)
113,this proposal was accepted by the enemy by the general assembly,the general assembly adopted unanimously this proposal,BLEU = 17.54 45.5/30.0/11.1/6.2 (BP = 1.000 ratio = 1.571 hyp_len = 11 ref_len = 7)
114,the people,the people,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2)
115,notice of the assignment of the wadded dotter rapidly extended to madrid,the news of the assassination of eduardo dato was rapidly disseminated throughout madrid,BLEU = 8.20 50.0/9.1/5.0/2.8 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
116,the innantumere di omphrentinia is forming mainly several times more active than the innantium,the d enantiomer of methamphetamine is pharmacologically several times more active than the l enantiomer,BLEU = 35.00 57.1/38.5/33.3/27.3 (BP = 0.931 ratio = 0.933 hyp_len = 14 ref_len = 15)
117,the convention moved to austerlitz,the convention was moved to austerlitz space,BLEU = 33.52 100.0/75.0/33.3/25.0 (BP = 0.670 ratio = 0.714 hyp_len = 5 ref_len = 7)
118,the entrances to the gyros took three minutes,the tickets for the tour sold out in just three minutes,BLEU = 9.03 50.0/14.3/8.3/5.0 (BP = 0.687 ratio = 0.727 hyp_len = 8 ref_len = 11)
119,he wrote a chapter about hegels apology and the theory of his accuracy,they wrote a thesis on hegels ontology and the theory of historicity,BLEU = 23.90 53.8/33.3/18.2/10.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
120,julian had no responsibility,all responsibilities were disclaimed by julian,BLEU = 9.69 25.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
121,point is always a telephonic center,this place is always a telephone exchange,BLEU = 25.58 50.0/40.0/25.0/16.7 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7)
122,patriots of these populations were found in bolivia dupa,the patriots of these populations took shelter in valledupar,BLEU = 31.56 55.6/37.5/28.6/16.7 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
123,stipend is more or less equal to a local masters salary,a stipend earns more or less the same as a local teacher,BLEU = 16.76 54.5/30.0/11.1/6.2 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
124,they have thin pea brown ties,they have hispid puberulent stems,BLEU = 16.23 33.3/20.0/12.5/8.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
125,station received the name of corroboree for the populace hermon in the neighbourhood,the station was given the name of quiroga after the homonymous densely populated neighborhood,BLEU = 12.66 46.2/16.7/9.1/5.0 (BP = 0.926 ratio = 0.929 hyp_len = 13 ref_len = 14)
126,is considered the best pivot that has passed by stamford,he is considered to be the best center player that has been in stanford,BLEU = 9.74 60.0/33.3/6.2/3.6 (BP = 0.670 ratio = 0.714 hyp_len = 10 ref_len = 14)
127,these two questions are considered as the revolution of the computer in the house,these two matters are deemed milestones of the computer revolution at home,BLEU = 14.46 50.0/23.1/8.3/4.5 (BP = 1.000 ratio = 1.167 hyp_len = 14 ref_len = 12)
128,national deportation,national sports title,BLEU = 30.33 50.0/50.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 2 ref_len = 3)
129,for the time being it was impossible to renew the meeting,as the storm didnt stop it was impossible to resume the meeting,BLEU = 26.48 63.6/40.0/22.2/12.5 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
130,its development was parallel with the reorganization of most of the communes,the development was parallel with the one of the urbanization the two roads,BLEU = 33.55 58.3/45.5/30.0/22.2 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
131,the contents of the deposits and the one that has morgana,the content in the houses is then counted and the player who has more seeds wins,BLEU = 5.98 45.5/10.0/5.6/3.1 (BP = 0.635 ratio = 0.688 hyp_len = 11 ref_len = 16)
132,lets go pombo please,julia lets go gamboa please,BLEU = 27.53 75.0/33.3/25.0/25.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
