,Prediction,Gold,ASR_BLEU
133,the populations of susa and meller tell each other to children,two members of the senate are each elected by the people of ceuta and melilla,BLEU = 3.68 36.4/5.0/2.8/1.6 (BP = 0.695 ratio = 0.733 hyp_len = 11 ref_len = 15)
134,his story,his story,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2)
135,he had changed,it had changed,BLEU = 55.03 66.7/50.0/50.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3)
136,the same time cromwell was substituted for small comedies,also the cromwell tank was replaced by a small number of comet tanks,BLEU = 4.32 44.4/6.2/3.6/2.1 (BP = 0.641 ratio = 0.692 hyp_len = 9 ref_len = 13)
137,it was the first to have different deeds,he was one of the first ones having differentiated teeth,BLEU = 9.52 37.5/14.3/8.3/5.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10)
138,its for symbades the school and they are one of the students,stryker troops invaded the school and kidnapped some students,BLEU = 13.55 33.3/18.2/10.0/5.6 (BP = 1.000 ratio = 1.333 hyp_len = 12 ref_len = 9)
139,it took place in the city of guido piccinni,the study took place in the city of quito pichincha ecuador,BLEU = 47.03 66.7/62.5/57.1/50.0 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11)
140,he was born in the family of the visipollo,she was born in a well off family of tegucigalpa,BLEU = 19.97 55.6/37.5/14.3/8.3 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
141,prosecuted,to remove,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 1 ref_len = 2)
142,it didnt leave the cab it ended the works,the project was not carried out and the works were left unfinished,BLEU = 7.56 33.3/12.5/7.1/4.2 (BP = 0.717 ratio = 0.750 hyp_len = 9 ref_len = 12)
143,in this way it can be said that the family is a system,this way we can say that families are systems,BLEU = 7.35 30.8/8.3/4.5/2.5 (BP = 1.000 ratio = 1.444 hyp_len = 13 ref_len = 9)
144,he started writing and cast again the knife,he started writing in spanish in night,BLEU = 20.56 37.5/28.6/16.7/10.0 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7)
145,lissembourg,he lives in bulgaria,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.050 ratio = 0.250 hyp_len = 1 ref_len = 4)
146,collective is the essence of this geographic act,the street art is essentially collective,BLEU = 7.27 37.5/7.1/4.2/2.5 (BP = 1.000 ratio = 1.333 hyp_len = 8 ref_len = 6)
147,the bridge crosses the river of the plata between the two municipalities,the bridge crosses the río de la plata between the two municipalities,BLEU = 53.11 75.0/63.6/50.0/33.3 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12)
148,the tomb is located in the place of peregrination only in the corner,nowadays his grave remains a pilgrimage site,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.857 hyp_len = 13 ref_len = 7)
149,or what is that what is that sapphire,oh whats that whats that oh my god a dog,BLEU = 5.11 25.0/7.1/4.2/2.5 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10)
150,here she practised fishing activities notation and aquatic travels,activities such as fishing swimming and water skiing can be performed in this area,BLEU = 3.60 33.3/6.2/3.6/2.1 (BP = 0.574 ratio = 0.643 hyp_len = 9 ref_len = 14)
151,it was during his years of study when georgiana began to vinculate and poultice,it was during the time he was a student that jordi hereu started to get involved in politics,BLEU = 8.54 28.6/15.4/8.3/4.5 (BP = 0.751 ratio = 0.778 hyp_len = 14 ref_len = 18)
152,he was named arbor in honor of the historian of the united states polygon,he was named garber as a honor to paul e garber american historian,BLEU = 12.01 35.7/15.4/8.3/4.5 (BP = 1.000 ratio = 1.077 hyp_len = 14 ref_len = 13)
153,each table has to sift is on the floor,every cap has engravings in the stone two digits,BLEU = 5.67 22.2/6.2/3.6/2.1 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
154,the time he was considered the title the most important of the history,at those times it was considered to be the most important paulist title in history,BLEU = 13.49 53.8/25.0/9.1/5.0 (BP = 0.857 ratio = 0.867 hyp_len = 13 ref_len = 15)
155,is located and commerce,it is located in the comoros,BLEU = 19.38 50.0/33.3/25.0/25.0 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
156,custe,acoustic group,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 1 ref_len = 2)
157,his place was occupied by cassius manlius,his place was occupied by kashima antlers,BLEU = 61.48 71.4/66.7/60.0/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
158,cord is commonly consumed,lamb is commonly consumed,BLEU = 59.46 75.0/66.7/50.0/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
159,even though the work receives mixed critics the action of lovers receive positive critics,although the play had mixed reviews loveless acting received positive reviews,BLEU = 3.74 21.4/3.8/2.1/1.1 (BP = 1.000 ratio = 1.273 hyp_len = 14 ref_len = 11)
160,apparently it is the liturgy of mozzaro hosanni as a characteristic note,currently it wants to be the mozarabic or hispanic liturgy as a characteristic note,BLEU = 20.64 58.3/27.3/20.0/11.1 (BP = 0.846 ratio = 0.857 hyp_len = 12 ref_len = 14)
161,the problem of the lace it consists in enclosing the laceration,link has a problem t refers to finding the shortest link t,BLEU = 4.07 18.2/5.0/2.8/1.6 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
162,this was a period of incessant investigation of the material and volume,this was a period of extensive research about matter and volume,BLEU = 36.46 58.3/45.5/30.0/22.2 (BP = 1.000 ratio = 1.091 hyp_len = 12 ref_len = 11)
163,yes i was going to enter,oh were you going to get in,BLEU = 13.74 33.3/20.0/12.5/8.3 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7)
164,his aluminum solitaire which is crystallized in the monogram of aphrodite,it is an aluminosilicate of barium which crystallizes in the monoclinic crystalline system,BLEU = 7.86 45.5/10.0/5.6/3.1 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
165,i was afraid that i would save the life of her,you should stopped me to save ainhoas life,BLEU = 4.46 18.2/5.0/2.8/1.6 (BP = 1.000 ratio = 1.375 hyp_len = 11 ref_len = 8)
166,it is the main scene of the old carnival carnival and the novel novel in the series,it is the main setting of the carnivorous carnival the ninth novel of the series,BLEU = 20.95 64.7/31.2/13.3/7.1 (BP = 1.000 ratio = 1.133 hyp_len = 17 ref_len = 15)
167,he wrote episodes for lake michigan with davids liederman married with children and lawrence,they wrote some episodes for late night with david letterman married with children and the simpsons,BLEU = 19.69 57.1/30.8/16.7/9.1 (BP = 0.867 ratio = 0.875 hyp_len = 14 ref_len = 16)
168,watson was accused of the assignment of walt adjudged and condemned to perpetuate dean,madsen was accused of murdering wall he faced a trial and was punished with life imprisonment,BLEU = 9.85 28.6/15.4/8.3/4.5 (BP = 0.867 ratio = 0.875 hyp_len = 14 ref_len = 16)
169,after the war he fled to bolivia,after defeat he took refuge in sucre bolivia,BLEU = 7.49 42.9/8.3/5.0/3.1 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
170,the tomb is located in the catholic cemetery of homburg,their grave is at kamakura catholic cemetery,BLEU = 9.29 30.0/11.1/6.2/3.6 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7)
171,have me go to the ulcers forge go to the door,for being afraid of heights being lazy to provide assistance,BLEU = 3.75 9.1/5.0/2.8/1.6 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
172,season ended at the fourth of the day,the fire started at four p m,BLEU = 6.57 25.0/7.1/4.2/2.5 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7)
173,hell like him and die alive in the forest,he doesnt like to bath and he is always after wheels,BLEU = 4.54 22.2/6.2/3.6/2.1 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11)
174,the book of him was written by the poet henrino romulus essayer,honduran poet romulo ernesto duron wrote anthems lyrics,BLEU = 3.39 8.3/4.5/2.5/1.4 (BP = 1.000 ratio = 1.500 hyp_len = 12 ref_len = 8)
175,he formed part of the official selection of the international sign festival of edinburgh,they formed part of the official national team of the edinburgh international film festival,BLEU = 33.43 71.4/38.5/25.0/18.2 (BP = 1.000 ratio = 1.000 hyp_len = 14 ref_len = 14)
176,they are commendable because it can lead to a physical exit to certain parts of the body,it is advisable because it can let to physical exhaustion of certain parts of the body,BLEU = 30.28 58.8/37.5/26.7/14.3 (BP = 1.000 ratio = 1.062 hyp_len = 17 ref_len = 16)
177,as far as a reddish indicator from july to november,their blossoms appear pink from july to november,BLEU = 26.27 40.0/33.3/25.0/14.3 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
178,popularity between macedonia and macedonia kept some years later at his ranch,his popularity amongst the macedonian public kept going on some years after the launch,BLEU = 7.21 41.7/9.1/5.0/2.8 (BP = 0.846 ratio = 0.857 hyp_len = 12 ref_len = 14)
179,our consul likes liver is the joker and then the best fellows,in arkham lex frees the joker and then the other villains,BLEU = 31.70 41.7/36.4/30.0/22.2 (BP = 1.000 ratio = 1.091 hyp_len = 12 ref_len = 11)
180,the edition the schopenhauer receipt the order of lenin,likewise josef stalin the icebreaker received the order from lenin,BLEU = 10.15 44.4/12.5/7.1/4.2 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
181,the bourgeois planters vistas in the pasture,the ground floor shows exposed masonry,BLEU = 6.57 14.3/8.3/5.0/3.1 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6)
182,the notary was momma rodriguez and the secretary was francesco villina,the notary public was manuel rodriguez and the secretary was francisco hortelano,BLEU = 38.10 72.7/50.0/33.3/25.0 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
183,they can be imitated by dark wines stone baldos assai and other surfaces,the print can imitate paving stones stones tiles boards or any other surfaces,BLEU = 6.84 23.1/8.3/4.5/2.5 (BP = 1.000 ratio = 1.000 hyp_len = 13 ref_len = 13)
184,oh apollo,dark brown tail,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 2 ref_len = 3)
185,the park there are free reservations located in the mazota and its reservations,in the park there are three reservoirs located on the plateau and its surroundings,BLEU = 24.92 69.2/41.7/18.2/10.0 (BP = 0.926 ratio = 0.929 hyp_len = 13 ref_len = 14)
186,initiate the casino a neutral sociable it stops to shew political inclinations,initially it was the casino of a neutral society and soon it starts to show political leanings,BLEU = 7.26 58.3/18.2/5.0/2.8 (BP = 0.659 ratio = 0.706 hyp_len = 12 ref_len = 17)
187,the chimes was treated by many hosts and a collapsing form,alchemist got treatment for multiple broken ribs and a collapsed lung,BLEU = 7.50 18.2/10.0/5.6/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
188,he was born in bonesenburg and died in poverty,born percent von esenbeck died in poverty,BLEU = 19.07 44.4/25.0/14.3/8.3 (BP = 1.000 ratio = 1.286 hyp_len = 9 ref_len = 7)
189,hence was the descendant of patrick henry a prominent figure of the american revolution,evan was descendant of patrick henry prominent figure of the american revolution,BLEU = 54.45 78.6/61.5/50.0/36.4 (BP = 1.000 ratio = 1.167 hyp_len = 14 ref_len = 12)
190,the actuality is made by the excavation for the building,nowadays excavating for the construction of the building is being done,BLEU = 11.36 50.0/22.2/6.2/3.6 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
191,essays on fats,in the song fat joe appears,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 3 ref_len = 6)
192,his father vladimir de la porte was the son of mayor of yerssoff the first austrian,in fact his dad vladimir of novgorod turned out to be the oldest child of yaroslav the first the wise,BLEU = 5.21 43.8/6.7/3.6/1.9 (BP = 0.779 ratio = 0.800 hyp_len = 16 ref_len = 20)
193,the result was the book the infirmity and the messiah,the result was the book the disease and its metaphors,BLEU = 53.73 70.0/55.6/50.0/42.9 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10)
194,besides the republicans entered for the first time in parliament,moreover the republicans entered the parliament for the first time,BLEU = 39.28 80.0/55.6/37.5/14.3 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10)
195,he has been the geoffrey redector of the four volumes of the war of seneca,in addition flora of somalia had him as chief editor,BLEU = 2.63 6.7/3.6/1.9/1.0 (BP = 1.000 ratio = 1.500 hyp_len = 15 ref_len = 10)
196,while they are ready to finish with the residue ricketts,while they separate in order to end with the laggards rick sees a deer,BLEU = 8.41 50.0/22.2/6.2/3.6 (BP = 0.670 ratio = 0.714 hyp_len = 10 ref_len = 14)
197,he is a predecessor of orlando dei duro where music is his name,favorite son of aranda of duero whose music school has his name,BLEU = 7.35 30.8/8.3/4.5/2.5 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
198,panniering in the grocers neighborhood terminates with several hoods of white armour,a fight in the gracia neighborhood ends with several knife injuries,BLEU = 10.13 41.7/18.2/5.0/2.8 (BP = 1.000 ratio = 1.091 hyp_len = 12 ref_len = 11)
199,sarcastic amosite its found out you dont want to stay with anybody,he is sarcastic friendly outgoing and he does not like making a bad impression with anybody,BLEU = 5.37 25.0/9.1/5.0/2.8 (BP = 0.717 ratio = 0.750 hyp_len = 12 ref_len = 16)
200,is the most famous isaac torres stables,it is the heaviest of already known stable isotopes,BLEU = 9.87 28.6/16.7/10.0/6.2 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
201,he was born in oscan minnesota united states,he was born in erskine minnesota u s a,BLEU = 32.26 62.5/42.9/33.3/20.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
202,in front of the coast of angola,it is in front of angola coast,BLEU = 30.74 71.4/50.0/20.0/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
203,one moment another,a moment oh no,BLEU = 19.72 33.3/25.0/25.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4)
204,no grace,dont scream,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2)
205,claire is in the office and has the arm of his horse,charlie gets out of the office and takes a gun from this locker,BLEU = 12.46 33.3/18.2/10.0/5.6 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
206,esther moved to manchester to inflect the city in the first season,west ham travelled to manchester to play against city in the first date,BLEU = 28.21 58.3/45.5/30.0/11.1 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
207,on this occasion the enclosure of the enclosure was courier,in this occasion the managers to close the event was damned,BLEU = 16.06 50.0/22.2/12.5/7.1 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
208,the one interested in the space for the players,nothing interesting for a spaceman only for the toys,BLEU = 9.54 22.2/12.5/7.1/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
209,on the other hand it is known as illumination or need of light,in certain places only the lamp is considered lighting,BLEU = 3.67 15.4/4.2/2.3/1.2 (BP = 1.000 ratio = 1.444 hyp_len = 13 ref_len = 9)
210,cyrus published the album of the owner of the movie,containing the films score records released the album,BLEU = 9.29 30.0/11.1/6.2/3.6 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
211,the teams of canterbury were classified individually in time,the stages against the clock by teams classify the time individually,BLEU = 5.40 44.4/6.2/3.6/2.1 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11)
212,but for disparities in five had been decapitated,two people died to gunshot and five more are thought to have been decapitated,BLEU = 5.77 37.5/14.3/8.3/5.0 (BP = 0.472 ratio = 0.571 hyp_len = 8 ref_len = 14)
213,the following year the island was sold to our family,the next year the island was sold to a family,BLEU = 55.55 80.0/55.6/50.0/42.9 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10)
214,theres a way to get close to the house into the lake,there is a road that goes up near the waterfall and leads to the lake,BLEU = 7.89 41.7/18.2/5.0/2.8 (BP = 0.779 ratio = 0.800 hyp_len = 12 ref_len = 15)
215,quazini casuist,the cave offers unique acoustics,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.223 ratio = 0.400 hyp_len = 2 ref_len = 5)
216,the road is located in new york,the film is shooting in new york,BLEU = 27.78 71.4/33.3/20.0/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
217,at the age of twelve they abandoned the maternal tie,at the age of eighteen abandoned maternal guardianship,BLEU = 29.07 60.0/33.3/25.0/14.3 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
218,hawthornes sarcasm escaped in the rash shadow one of the eclipsed,kota and starkiller managed to escape aboard juno eclipses ship the rogue shadow,BLEU = 3.72 18.2/5.0/2.8/1.6 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
219,they are present in the markets of each country under different commercial markets,they are present in the markets of every country under different commercial brands,BLEU = 67.03 84.6/75.0/63.6/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 13 ref_len = 13)
220,in the central transport and commercial centre of the island of kuria,it is the transport and commercial center of kodiak island,BLEU = 14.99 50.0/18.2/10.0/5.6 (BP = 1.000 ratio = 1.200 hyp_len = 12 ref_len = 10)
221,there is also a repertoire of scenes and special events,nowadays it hosts a diverse repertoire of movies and special occasions,BLEU = 11.36 50.0/22.2/6.2/3.6 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
222,furred tailed winged phoenix was elaborated by one of her brothers,the third qualified was wayne g remix and it was produced by warner bros,BLEU = 3.39 18.2/5.0/2.8/1.6 (BP = 0.761 ratio = 0.786 hyp_len = 11 ref_len = 14)
223,the mariner was accredited to the brazilians the discovery of a new route,the royal navy credited the brazilians with the destruction of a u boat,BLEU = 9.67 46.2/16.7/4.5/2.5 (BP = 1.000 ratio = 1.000 hyp_len = 13 ref_len = 13)
224,the route was started by kioto yusai,the route can be started from kioto or osaka,BLEU = 11.74 57.1/16.7/10.0/6.2 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
225,the interview the painter in the radio,the painter is being interviewed on the radio,BLEU = 16.10 57.1/33.3/10.0/6.2 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
226,the most common example is the top of the body of a wine bottle,the most common example is the cork of the wine bottle,BLEU = 43.24 71.4/53.8/33.3/27.3 (BP = 1.000 ratio = 1.273 hyp_len = 14 ref_len = 11)
227,he studied medicine at the university of santiago by post,they studied medicine at the university of santiago de compostela,BLEU = 63.89 70.0/66.7/62.5/57.1 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10)
228,it was designed by you,it was designed by yahoo,BLEU = 66.87 80.0/75.0/66.7/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
229,the houses are celebrated in norway and on some occasions in poland,the masses are celebrated in norwegian and in some occasions in polish,BLEU = 22.78 66.7/36.4/20.0/5.6 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12)
230,however there are two portraits of the dean to transmit,therefore two gene bearers are required to transmit it,BLEU = 9.98 40.0/11.1/6.2/3.6 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
231,circuit of the catholics was named the honorary president,the catholic workers circle made him its honorary president,BLEU = 10.55 33.3/12.5/7.1/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
232,is called the georgie sola,call jordi sola,BLEU = 10.68 20.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.667 hyp_len = 5 ref_len = 3)
233,came to enter because the land has disappeared,i have just found out that the earth is gone,BLEU = 4.30 12.5/7.1/4.2/2.5 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10)
234,amongst the industrial parks where i met gabriel and the industrial park are located,among its industrial parks we can find the ramat gabriel and the industrial south park,BLEU = 21.15 57.1/30.8/16.7/9.1 (BP = 0.931 ratio = 0.933 hyp_len = 14 ref_len = 15)
235,no official condolences from the government of sego,no official condolences were offered by seoul government,BLEU = 22.09 50.0/28.6/16.7/10.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
236,brother christian seneca is a footboy,christian zuñiga her brother is a former soccer player,BLEU = 11.71 66.7/20.0/12.5/8.3 (BP = 0.607 ratio = 0.667 hyp_len = 6 ref_len = 9)
237,gorges formed by gas and porridge,this coma is formed by gas and dust,BLEU = 36.41 66.7/60.0/50.0/33.3 (BP = 0.717 ratio = 0.750 hyp_len = 6 ref_len = 8)
238,however individuals that fight against the end,however there are individuals who struggle against death until the end,BLEU = 9.33 71.4/16.7/10.0/6.2 (BP = 0.565 ratio = 0.636 hyp_len = 7 ref_len = 11)
239,in his last year of life when ariosto retired to galicia,juana de castro retired to galicia during her last years,BLEU = 14.99 36.4/20.0/11.1/6.2 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
240,finally the design was modified,finally the design was modified,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
241,psalms written by cobbler in nieuport except where indicated,all the melodies are written by cavalera and newport except where indicated,BLEU = 15.99 55.6/37.5/14.3/8.3 (BP = 0.717 ratio = 0.750 hyp_len = 9 ref_len = 12)
242,however it will not be invoked in a cycle during the night,nevertheless it will not be involved in a cyclone during the flight,BLEU = 28.65 66.7/45.5/20.0/11.1 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12)
243,these divisions were temporal and there was nothing,such splits were temporary and do not exist anymore,BLEU = 5.80 25.0/7.1/4.2/2.5 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
244,it was during this period that hare decided to enter into politics,it was during this period that jawara decided to begin his career in politics,BLEU = 40.91 75.0/54.5/40.0/33.3 (BP = 0.846 ratio = 0.857 hyp_len = 12 ref_len = 14)
245,he studied law in secondary schools at the university of chicago,he taught in secondary school and trabajo university,BLEU = 8.91 36.4/10.0/5.6/3.1 (BP = 1.000 ratio = 1.375 hyp_len = 11 ref_len = 8)
246,its a hydroxide carbonate and hydrated magnesium and hydra,it is a hydroxyl carbonate and magnesium hydrates and iron,BLEU = 10.73 55.6/12.5/7.1/4.2 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
247,most of these differences is the participation of the uses and the disputing,the biggest of these differences is the users participation and the enjoyment,BLEU = 35.42 69.2/41.7/27.3/20.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
248,a statue of them was placed within the bazaar,there is a statue of her standing inside the byzantine senate,BLEU = 15.27 44.4/25.0/14.3/8.3 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11)
249,i dont think we can do anything,dont think you know me that well,BLEU = 13.13 28.6/16.7/10.0/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
250,the recitative is followed by a choir that concludes the work,after the reciter there follows a choir to end the work,BLEU = 11.21 45.5/20.0/5.6/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
251,its the precautions sir lets go,increase precautions good luck lets go,BLEU = 17.97 50.0/20.0/12.5/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
252,he has a brother named lawrence,he has a sister named lauren landis,BLEU = 27.48 66.7/40.0/25.0/16.7 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7)
253,is the most small district of the country,this is the tiniest district in the country,BLEU = 16.52 62.5/28.6/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
254,is a great economic difference between urban and rural areas,it is a big economic difference between the rural and urban zones,BLEU = 18.09 80.0/33.3/12.5/7.1 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
255,the denomination may be equivalent to some countries to the minister,the denomination can result equivalent in some countries to the minister,BLEU = 41.72 72.7/50.0/33.3/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
256,there is the ship on the south side,i have put the ship fifteen degrees to the southwest,BLEU = 9.52 37.5/14.3/8.3/5.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10)
257,between the extremes the second place was only occupied by the abbess lombardi,among the premieres it won second place only surpassed by the green hornet,BLEU = 9.67 46.2/16.7/4.5/2.5 (BP = 1.000 ratio = 1.000 hyp_len = 13 ref_len = 13)
258,it is attributed to doctor julius moore,the system its attributed to doctor julius muller of brugg,BLEU = 26.78 57.1/50.0/40.0/25.0 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
259,if it was a dissipation it would be a violent assumption,it must have been a violent crime if it really were an usurpation,BLEU = 9.35 45.5/20.0/5.6/3.1 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
260,he is director of the mississippi,she is the director of miss teen nicaragua,BLEU = 13.83 66.7/20.0/12.5/8.3 (BP = 0.717 ratio = 0.750 hyp_len = 6 ref_len = 8)
261,he is one of the most known spirals of the firmament,its one of the best known spiral galaxies in the sky,BLEU = 15.85 45.5/20.0/11.1/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
262,he left writing during his time,he stopped writing when he was young,BLEU = 8.17 33.3/10.0/6.2/4.2 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7)
263,chapter twenty nine,chapter twenty nine,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3)
264,hernando a catholic and colossaria to find his protection over the hermitage,ferdinand the catholic and charles the first ratified their protection over the hermitage,BLEU = 23.20 50.0/36.4/20.0/11.1 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
265,last would be the most associated fossil the reflexive fossil,this last one would be the matrix associated to the reflective closure,BLEU = 15.21 60.0/22.2/12.5/7.1 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
266,people demand a better,the bridges lets see,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
